keys,en
"campaign.my_campaign.name","My Campaign"
"campaign.my_campaign.description","A one-line hook shown on the storefront card."
"quest.my_campaign.chapter_one.title","Chapter One"
"actor.my_campaign.example_grunt.name","Example Grunt"
"actor.my_campaign.example_grunt.name_numbered","Example Grunt {0}"
"actor.my_campaign.example_pest.name","Example Pest"
"actor.my_campaign.example_pest.name_numbered","Example Pest {0}"
"gear.claw.name","Claw"
"gear.bite.name","Bite"
"gear.example_blade.name","Example Blade"
"dialogue.dm.narration.my_campaign.room_opens","The door gives, and the room opens ahead of you."
"dialogue.example_companion.line.my_campaign.something_is_breathing","Something down there is breathing."
"dialogue.example_companion.line.my_campaign.ask_what_it_is","Ask what it is"
"dialogue.example_companion.line.my_campaign.no_word_for_it","Nothing I have a word for."
"dialogue.example_companion.line.my_campaign.say_nothing","Say nothing"
"dialogue.example_companion.line.my_campaign.suit_yourself","Suit yourself."
"dialogue.example_companion.line.my_campaign.nothing_tried_to_eat_us","Nothing tried to eat us today. Sleep."
"dialogue.example_companion.beat.my_campaign.warn_the_floor_is_thin","Step light. That floor is thinner than it looks."
"dialogue.example_companion.beat.my_campaign.the_walls_are_moving","The walls are moving. Slowly, but they are moving."
"dialogue.example_companion.beat.my_campaign.they_lean_toward_you","They are not breathing. That is you they are leaning towards."
"dialogue.example_companion.beat.my_campaign.hold_your_breath","Fill your chest at the door and do not let it go until the far side."
"dialogue.dm.beat.my_campaign.warn_the_floor_is_thin","The boards give a little under your weight, and go on giving."
"dialogue.dm.beat.my_campaign.the_walls_are_moving","The walls are moving. Slowly, but they are moving."
"dialogue.dm.beat.my_campaign.they_lean_toward_you","They lean when you lean. It is not the air moving them."
"dialogue.dm.beat.my_campaign.hold_your_breath","It wants the air you give it. Take one breath at the door and do not give it another."
"quest.my_campaign.example_room.name","The Example Room"
"quest.my_campaign.example_square.name","The Example Square"
"quest.my_campaign.example_road.name","The Example Road"
"quest.my_campaign.example_quest.title","The Example Errand"
"quest.my_campaign.example_quest.description","Somebody wants a thing fetched, and wants to be alive when you bring it back."
"actor.my_campaign.example_person.name","Example Person"
"actor.my_campaign.example_chest.name","An Example Chest"
"actor.my_campaign.example_grave.name","A Fresh Grave"
"dialogue.dm.narration.my_campaign.the_square_opens","The square is quiet at this hour, and there are two people in it who are not talking to each other."
"dialogue.dm.narration.my_campaign.quieter_than_it_was","Somebody has been at the ground by the wall. The square is quieter than it was, and stays quieter."
"dialogue.dm.narration.my_campaign.example_person_up_close","Up close they look like somebody who has been waiting a while and would rather you did not say so."
"dialogue.dm.narration.my_campaign.the_chest_up_close","The hasp is rusted through. It would open for anybody who cared to try."
"dialogue.dm.narration.my_campaign.somebody_dug_it_fast","Fresh earth, and not much of it. Whoever dug this was in a hurry."
"dialogue.dm.narration.my_campaign.a_boat_on_the_bank","A boat is pulled up the bank with nothing in it and nobody near it."
"dialogue.dm.narration.my_campaign.trouble_at_the_ford","The road goes under at the ford, and somebody is standing on the far side of it."
