keys,en
"campaign.saltmarch.name","Saltmarch"
"campaign.saltmarch.description","A quay at low tide, a man with an errand, and a weir that somebody wants opened."
"quest.saltmarch.the_errand.title","The Errand"
"quest.saltmarch.the_quay.name","The Quay"
"quest.saltmarch.the_weir.name","The Weir"
"quest.saltmarch.the_marsh_road.name","The Ford"
"quest.saltmarch.the_causeway.name","The Causeway"
"quest.saltmarch.the_sluice.title","The Sluice"
"quest.saltmarch.the_sluice.description","Norrel wants the gate at the weir opened. He wants to be paid back in person, and he wants to be alive to do the paying."
"actor.saltmarch.norrel.name","Norrel"
"actor.saltmarch.norrels_grave.name","A Fresh Grave"
"actor.saltmarch.the_lockbox.name","A Lockbox"
"actor.saltmarch.the_sluice_gate.name","The Sluice Gate"
"actor.saltmarch.marsh_jack.name","Marsh Jack"
"actor.saltmarch.marsh_jack.name_numbered","Marsh Jack {0}"
"actor.saltmarch.norrel_at_bay.name","Norrel, At Bay"
"actor.saltmarch.norrel_at_bay.name_numbered","Norrel, At Bay {0}"
"gear.gaff.name","Gaff"
"gear.gutting_knife.name","Gutting Knife"
"gear.tide_glass.name","Tide Glass"
"dialogue.dm.narration.saltmarch.the_quay_at_low_tide","The tide is out and the quay smells of it. Boards, rope, a lockbox nobody has bothered to move, and one man standing where he can watch the road."
"dialogue.dm.narration.saltmarch.the_quay_is_quieter_now","Somebody has been at the mud by the sea wall. The quay is quieter than it was, and stays quieter."
"dialogue.dm.narration.saltmarch.norrel_looks_you_over","He prices you the way he would price a boat: quickly, and without looking at your face while he does it."
"dialogue.dm.narration.saltmarch.the_lockbox_on_the_boards","Salt has been at the hasp for years. It would open for anybody who cared to try, which is its own kind of answer."
"dialogue.dm.narration.saltmarch.somebody_dug_it_fast","Fresh earth, and not much of it. Whoever dug this was in a hurry and did not expect to be asked about it."
"dialogue.dm.narration.saltmarch.two_of_them_on_the_hurdles","Two of them are up on the hurdles where the water runs fastest, and they have seen you before you have finished seeing them."
"dialogue.dm.narration.saltmarch.the_weir_is_yours","Nothing is standing. The weir makes the noise a weir makes, which is the first honest sound all day."
"dialogue.dm.narration.saltmarch.the_gate_is_seized","The gate is seized with rust and weed. It would go, with a key, or with somebody sufficiently annoyed."
"dialogue.dm.narration.saltmarch.the_water_lets_go","The gate lifts a hand's width and the marsh lets go of the whole of it at once, downstream, loudly."
"dialogue.dm.narration.saltmarch.they_were_waiting_at_the_ford","The causeway goes under at the ford, and they were waiting on the far side of it, which means somebody told them you were coming."
"dialogue.dm.narration.saltmarch.a_boat_pulled_up_the_bank","A boat is pulled up the bank with nothing in it and nobody near it. It has been there long enough for the grass to grow round the keel."
"dialogue.dm.narration.saltmarch.jacks_at_the_ford","Halfway along, the causeway narrows to a ford, and the water on both sides of it has stopped making the noise water makes."
